"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 20 18:05:02 CST 2023","Thu Jul 20 18:05:14 CST 2023","11978","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
"passed","Thu Jul 20 18:05:14 CST 2023","Thu Jul 20 18:05:27 CST 2023","12810","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Thu Jul 20 18:05:44 CST 2023","Thu Jul 20 18:05:57 CST 2023","13277","","","","","","test2_check_show_password",""
"passed","Thu Jul 20 18:05:35 CST 2023","Thu Jul 20 18:05:44 CST 2023","8513","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
