"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.settings","test_contact_us","TestContactUs","","","test1_contact_us",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.settings","test_notification","TestNotifications","","","test1_notifications",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.profile","test_edit_profile","TestEditProfile","","","test2_change_username",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.profile","test_edit_profile","TestEditProfile","","","test3_change_self_intro",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.home_page","test_logos","TestHomeLogos","","","test2_tap_all_logo",""
"skipped","Thu Jul 27 11:22:04 CST 2023","Thu Jul 27 11:22:04 CST 2023","0","testcase.wallet_addresses","test_card","TestCard","","","test2_delete_card",""
"skipped","Thu Jul 27 11:22:04 CST 2023","Thu Jul 27 11:22:04 CST 2023","0","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test2_delete_address",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.home_page","test_you_might_also_like","TestYouMightAlsoLike","","","test1_find_channels",""
"skipped","Thu Jul 27 11:22:02 CST 2023","Thu Jul 27 11:22:02 CST 2023","0","testcase.account_creation","test_create_account","TestAccountCreation","","","test04_create_with_good_password",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.home_page","test_hero_card","TestHeroCard","","","test1_swipe_card",""
"skipped","Thu Jul 27 11:22:03 CST 2023","Thu Jul 27 11:22:03 CST 2023","0","testcase.profile","test_follow","TestFollow","","","test3_follow_list",""
"skipped","Thu Jul 27 11:22:02 CST 2023","Thu Jul 27 11:22:02 CST 2023","0","testcase.account_creation","test_username_creation","TestAccountCreation","","","test03_create_with_username_already_took",""
"skipped","Thu Jul 27 11:22:02 CST 2023","Thu Jul 27 11:22:02 CST 2023","0","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
