"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 10:35:40 CST 2023","Thu Jul 20 10:35:44 CST 2023","4088","testcase.settings","test_notification","TestPurchases","","","test1_notifications",""
"passed","Thu Jul 20 10:30:01 CST 2023","Thu Jul 20 10:30:18 CST 2023","17371","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test2_check_show_password",""
"passed","Thu Jul 20 10:29:20 CST 2023","Thu Jul 20 10:29:30 CST 2023","10381","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
"passed","Thu Jul 20 10:30:54 CST 2023","Thu Jul 20 10:31:16 CST 2023","22693","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test5_check_privacy_policy",""
"passed","Thu Jul 20 10:30:18 CST 2023","Thu Jul 20 10:30:33 CST 2023","14287","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test3_check_forget_password",""
"broken","Thu Jul 20 10:38:31 CST 2023","Thu Jul 20 10:38:43 CST 2023","11734","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test1_add_address",""
"passed","Thu Jul 20 10:32:52 CST 2023","Thu Jul 20 10:33:04 CST 2023","11396","testcase.profile","test_edit_profile","TestEditProfile","","","test3_change_self_intro",""
"passed","Thu Jul 20 10:35:51 CST 2023","Thu Jul 20 10:36:19 CST 2023","28180","testcase.settings","test_privacy_policy","TestPurchases","","","test1_privacy_policy",""
"passed","Thu Jul 20 10:33:57 CST 2023","Thu Jul 20 10:34:06 CST 2023","8989","testcase.profile","test_invite_friends","TestInviteFriends","","","test1_invite_friends",""
"broken","Thu Jul 20 10:39:17 CST 2023","Thu Jul 20 10:39:29 CST 2023","11449","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test2_delete_address",""
"passed","Thu Jul 20 10:35:17 CST 2023","Thu Jul 20 10:35:21 CST 2023","3917","testcase.settings","test_contact_us","TestPurchases","","","test1_contact_us",""
"passed","Thu Jul 20 10:33:04 CST 2023","Thu Jul 20 10:33:17 CST 2023","13055","testcase.profile","test_edit_profile","TestEditProfile","","","test4_change_interests",""
"passed","Thu Jul 20 10:29:53 CST 2023","Thu Jul 20 10:30:01 CST 2023","7798","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
"passed","Thu Jul 20 10:33:41 CST 2023","Thu Jul 20 10:33:44 CST 2023","3395","testcase.profile","test_follow","TestFollow","","","test2_following",""
"passed","Thu Jul 20 10:32:40 CST 2023","Thu Jul 20 10:32:52 CST 2023","12732","testcase.profile","test_edit_profile","TestEditProfile","","","test2_change_username",""
"passed","Thu Jul 20 10:32:20 CST 2023","Thu Jul 20 10:32:40 CST 2023","19722","testcase.profile","test_edit_profile","TestEditProfile","","","test1_change_avatar",""
"passed","Thu Jul 20 10:31:58 CST 2023","Thu Jul 20 10:32:12 CST 2023","14695","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test2_login_with_error_password",""
"passed","Thu Jul 20 10:30:33 CST 2023","Thu Jul 20 10:30:54 CST 2023","21042","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test4_check_terms_of_use",""
"passed","Thu Jul 20 10:29:30 CST 2023","Thu Jul 20 10:29:45 CST 2023","14944","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Thu Jul 20 10:35:29 CST 2023","Thu Jul 20 10:35:32 CST 2023","3568","testcase.settings","test_faqs","TestPurchases","","","test1_FAQs",""
"passed","Thu Jul 20 10:36:45 CST 2023","Thu Jul 20 10:37:29 CST 2023","44731","testcase.wallet_addresses","test_card","TestCard","","","test1_add_card",""
"passed","Thu Jul 20 10:37:29 CST 2023","Thu Jul 20 10:37:48 CST 2023","18297","testcase.wallet_addresses","test_card","TestCard","","","test2_delete_card",""
"passed","Thu Jul 20 10:34:06 CST 2023","Thu Jul 20 10:34:11 CST 2023","4600","testcase.profile","test_invite_friends","TestInviteFriends","","","test2_cancel_invite",""
"passed","Thu Jul 20 10:33:44 CST 2023","Thu Jul 20 10:33:49 CST 2023","5243","testcase.profile","test_follow","TestFollow","","","test3_follow_list",""
"passed","Thu Jul 20 10:31:16 CST 2023","Thu Jul 20 10:31:35 CST 2023","18494","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test6_check_create_one_now",""
"passed","Thu Jul 20 10:33:37 CST 2023","Thu Jul 20 10:33:41 CST 2023","3488","testcase.profile","test_follow","TestFollow","","","test1_followers",""
"passed","Thu Jul 20 10:36:27 CST 2023","Thu Jul 20 10:36:37 CST 2023","9506","testcase.settings","test_purchases","TestPurchases","","","test1_empty_purchase",""
"passed","Thu Jul 20 10:31:43 CST 2023","Thu Jul 20 10:31:58 CST 2023","14772","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test1_login_with_nonexistent_account",""
