"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 17:45:38 CST 2023","Mon Aug 07 17:46:18 CST 2023","40189","testcase.wallet_addresses","test_card","TestCard","","","test2_delete_card",""
"passed","Mon Aug 07 17:17:56 CST 2023","Mon Aug 07 17:18:25 CST 2023","28328","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Mon Aug 07 17:17:39 CST 2023","Mon Aug 07 17:17:56 CST 2023","17678","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
"passed","Mon Aug 07 17:30:38 CST 2023","Mon Aug 07 17:31:05 CST 2023","26579","testcase.profile","test_edit_profile","TestEditProfile","","","test1_change_avatar",""
"skipped","Mon Aug 07 17:43:48 CST 2023","Mon Aug 07 17:43:48 CST 2023","0","testcase.settings","test_purchases","TestPurchases","","","test1_empty_purchase",""
"passed","Mon Aug 07 17:12:58 CST 2023","Mon Aug 07 17:13:56 CST 2023","57467","testcase.account_creation","test_create_account","TestAccountCreation","","","test04_create_with_good_password",""
"passed","Mon Aug 07 17:39:09 CST 2023","Mon Aug 07 17:39:39 CST 2023","30388","testcase.settings","test_faqs","TestFAQs","","","test1_FAQs",""
"passed","Mon Aug 07 17:43:11 CST 2023","Mon Aug 07 17:43:48 CST 2023","37223","testcase.settings","test_privacy_policy","TestPrivacyPolicy","","","test1_privacy_policy",""
"passed","Mon Aug 07 17:41:23 CST 2023","Mon Aug 07 17:42:17 CST 2023","53650","testcase.settings","test_notification","TestNotifications","","","test2_check_all_marketing_rewards_buttons",""
"passed","Mon Aug 07 17:20:16 CST 2023","Mon Aug 07 17:20:32 CST 2023","16107","testcase.login_logout","test_login_with_error_info","TestErrorLogin","","","test1_login_with_nonexistent_account",""
"failed","Mon Aug 07 17:48:52 CST 2023","Mon Aug 07 17:49:58 CST 2023","66087","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test1_add_address",""
"passed","Mon Aug 07 17:25:06 CST 2023","Mon Aug 07 17:26:38 CST 2023","91928","testcase.home_page","test_you_might_also_like","TestYouMightAlsoLike","","","test1_find_channels",""
"passed","Mon Aug 07 17:40:00 CST 2023","Mon Aug 07 17:40:24 CST 2023","24255","testcase.settings","test_notification","TestNotifications","","","test1_notifications",""
"passed","Mon Aug 07 17:19:32 CST 2023","Mon Aug 07 17:19:56 CST 2023","24660","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test5_check_privacy_policy",""
"passed","Mon Aug 07 17:18:39 CST 2023","Mon Aug 07 17:18:56 CST 2023","16197","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test2_check_show_password",""
"passed","Mon Aug 07 17:11:33 CST 2023","Mon Aug 07 17:12:31 CST 2023","57981","testcase.account_creation","test_create_account","TestAccountCreation","","","test01_basic_flow_create_account",""
"passed","Mon Aug 07 17:18:25 CST 2023","Mon Aug 07 17:18:39 CST 2023","14548","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
"passed","Mon Aug 07 17:20:48 CST 2023","Mon Aug 07 17:21:14 CST 2023","26621","testcase.home_page","test_dm","TestDMs","","","test1_go_direct_message",""
"passed","Mon Aug 07 17:12:31 CST 2023","Mon Aug 07 17:12:45 CST 2023","14148","testcase.account_creation","test_create_account","TestAccountCreation","","","test02_create_with_weak_password",""
"broken","Mon Aug 07 17:33:45 CST 2023","Mon Aug 07 17:34:13 CST 2023","28075","testcase.profile","test_edit_profile","TestEditProfile","","","test4_change_interests",""
"passed","Mon Aug 07 17:40:24 CST 2023","Mon Aug 07 17:41:23 CST 2023","59476","testcase.settings","test_notification","TestNotifications","","","test2_check_all_livestreams_buttons",""
"broken","Mon Aug 07 17:51:24 CST 2023","Mon Aug 07 17:51:43 CST 2023","18968","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test2_delete_address",""
"passed","Mon Aug 07 17:34:13 CST 2023","Mon Aug 07 17:34:35 CST 2023","21499","testcase.profile","test_follow","TestFollow","","","test1_followers",""
