"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 02 16:00:10 CST 2023","Wed Aug 02 16:00:28 CST 2023","17969","testcase.account_creation","test_create_account","TestAccountCreation","","","test05_create_with_email_already_took",""
"passed","Wed Aug 02 15:57:43 CST 2023","Wed Aug 02 15:57:57 CST 2023","13472","testcase.account_creation","test_create_account","TestAccountCreation","","","test03_create_with_fair_password",""
"passed","Wed Aug 02 16:06:35 CST 2023","Wed Aug 02 16:06:49 CST 2023","14421","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
"passed","Wed Aug 02 16:23:38 CST 2023","Wed Aug 02 16:24:04 CST 2023","26176","testcase.settings","test_contact_us","TestContactUs","","","test1_contact_us",""
"passed","Wed Aug 02 16:23:10 CST 2023","Wed Aug 02 16:23:38 CST 2023","27547","testcase.settings","test_become_a_seller","TestBecomeASeller","","","test1_become_a_seller",""
"broken","Wed Aug 02 16:06:12 CST 2023","Wed Aug 02 16:06:35 CST 2023","22929","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Wed Aug 02 16:14:44 CST 2023","Wed Aug 02 16:16:12 CST 2023","87486","testcase.home_page","test_you_might_also_like","TestYouMightAlsoLike","","","test2_follow_channels_actions",""
"broken","Wed Aug 02 16:30:13 CST 2023","Wed Aug 02 16:30:41 CST 2023","27548","testcase.settings","test_purchases","TestPurchases","","","test1_empty_purchase",""
"passed","Wed Aug 02 16:26:45 CST 2023","Wed Aug 02 16:27:37 CST 2023","52248","testcase.settings","test_notification","TestNotifications","","","test2_check_all_marketing_rewards_buttons",""
"passed","Wed Aug 02 16:20:35 CST 2023","Wed Aug 02 16:20:56 CST 2023","21638","testcase.profile","test_follow","TestFollow","","","test2_following",""
"passed","Wed Aug 02 16:07:24 CST 2023","Wed Aug 02 16:07:40 CST 2023","15689","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test3_check_forget_password",""
"passed","Wed Aug 02 16:01:28 CST 2023","Wed Aug 02 16:02:13 CST 2023","44467","testcase.account_creation","test_username_creation","TestAccountCreation","","","test03_create_with_username_already_took",""
"passed","Wed Aug 02 16:20:14 CST 2023","Wed Aug 02 16:20:35 CST 2023","20764","testcase.profile","test_follow","TestFollow","","","test1_followers",""
"passed","Wed Aug 02 16:22:43 CST 2023","Wed Aug 02 16:23:10 CST 2023","26704","testcase.profile","test_share_profile","TestInviteFriends","","","test1_invite_friends",""
"passed","Wed Aug 02 16:33:26 CST 2023","Wed Aug 02 16:34:28 CST 2023","61872","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test1_add_address",""
"passed","Wed Aug 02 16:10:10 CST 2023","Wed Aug 02 16:10:49 CST 2023","38910","testcase.home_page","test_hero_card","TestHeroCard","","","test1_swipe_card",""
"passed","Wed Aug 02 16:12:28 CST 2023","Wed Aug 02 16:12:51 CST 2023","23815","testcase.home_page","test_view_all","TestViewAll","","","test1_tap_view_all",""
