"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 10:19:33 CST 2023","Tue Jul 25 10:19:42 CST 2023","9509","","","","","","test1_loginUserExisted",""
"broken","Tue Jul 25 10:17:33 CST 2023","Tue Jul 25 10:19:32 CST 2023","119252","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
