"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 17:02:23 CST 2023","Mon Jul 17 17:02:25 CST 2023","1664","","","","","","test1_loginUserExisted",""
"broken","Mon Jul 17 17:02:21 CST 2023","Mon Jul 17 17:02:23 CST 2023","1424","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
