"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 15:58:53 CST 2023","Tue Jul 18 15:59:16 CST 2023","23501","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test4_check_terms_of_use",""
"broken","Tue Jul 18 16:01:12 CST 2023","Tue Jul 18 16:01:24 CST 2023","12431","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test1_login_with_nonexistent_account",""
"passed","Tue Jul 18 15:58:40 CST 2023","Tue Jul 18 15:58:53 CST 2023","13144","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test3_check_forget_password",""
"broken","Tue Jul 18 16:02:03 CST 2023","Tue Jul 18 16:02:14 CST 2023","11926","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test2_login_with_error_password",""
"passed","Tue Jul 18 15:57:58 CST 2023","Tue Jul 18 15:58:06 CST 2023","8785","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Tue Jul 18 15:57:47 CST 2023","Tue Jul 18 15:57:58 CST 2023","10998","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
"passed","Tue Jul 18 15:59:16 CST 2023","Tue Jul 18 15:59:37 CST 2023","20481","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test5_check_privacy_policy",""
"passed","Tue Jul 18 15:58:15 CST 2023","Tue Jul 18 15:58:22 CST 2023","7581","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
"broken","Tue Jul 18 16:00:14 CST 2023","Tue Jul 18 16:00:26 CST 2023","11924","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test6_check_create_one_now",""
"passed","Tue Jul 18 15:58:22 CST 2023","Tue Jul 18 15:58:40 CST 2023","17197","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test2_check_show_password",""
